name,ch.uzh.ciclassifier.features.configuration.EnvSize,ch.uzh.ciclassifier.features.configuration.LintScore,ch.uzh.ciclassifier.features.configuration.NumberOfComments,ch.uzh.ciclassifier.features.configuration.NumberOfConfigurationLines,ch.uzh.ciclassifier.features.configuration.NumberOfJobs,ch.uzh.ciclassifier.features.configuration.NumberOfNotifications,ch.uzh.ciclassifier.features.configuration.NumberOfStages,ch.uzh.ciclassifier.features.configuration.ParseScore,ch.uzh.ciclassifier.features.configuration.UniqueInstructions,ch.uzh.ciclassifier.features.configuration.UseBranches,ch.uzh.ciclassifier.features.configuration.UseCache,ch.uzh.ciclassifier.features.repository.CommitsUntilConfigAdded,ch.uzh.ciclassifier.features.repository.ConfigChangeFrequency,ch.uzh.ciclassifier.features.repository.DaysUntilConfigAdded,ch.uzh.ciclassifier.features.repository.NumberOfConfigurationFileChanges,ch.uzh.ciclassifier.features.repository.NumberOfContributors,ch.uzh.ciclassifier.features.travisci.BuildTimeAverage,ch.uzh.ciclassifier.features.travisci.BuildSuccessRatio,ch.uzh.ciclassifier.features.travisci.BuildTimeLatestAverage,ch.uzh.ciclassifier.features.travisci.ManualInteractionRatio,ch.uzh.ciclassifier.features.travisci.PullRequestRatio,ch.uzh.ciclassifier.features.travisci.TimeToFixAverage,ch.uzh.ciclassifier.features.travisci.TimeToFixLatestAverage
j4y_landslider,0,1,0,5,1,0,1,12,0,0,0,301,0.009677419,944,3,6,0.0,0.0,0.0,0.0,1.0,0.0,0.0
balderdashy_sails,1,0,10,32,4,1,1,2,1,1,0,1505,0.005930528,441,42,289,1242.7976318622175,0.6687158469945356,839.16,0.0,0.1467430207587688,234534.1219512195,0.0
louiscklaw_archlinux_postinstall,0,0,4,23,1,0,1,1,2,0,1,25,0.03846154,1234,1,2,72.0,1.0,72.0,0.0,0.0,0.0,0.0
frictionlessdata_tableschema-rb,0,0,0,33,3,0,2,2,4,0,0,0,0.07177033,0,15,6,114.29757085020243,0.9600694444444444,104.64,0.0,0.06666666666666667,145283.66666666666,0.0
Dygmalab_Raise-Firmware,0,0,0,17,1,1,1,2,8,0,0,0,0.06666667,0,2,6,213.83333333333334,0.37037037037037035,213.83333333333334,0.07407407407407407,0.14814814814814814,25397.714285714286,0.0
puzzle-org_configuration,0,0,0,15,2,0,1,2,2,0,0,21,0.085365854,194,7,5,193.15384615384616,0.8409090909090909,196.4,0.0,0.20689655172413793,393.0,0.0
KnpLabs_FriendlyContexts,1,0,3,37,10,1,1,4,4,1,0,5,0.030100334,0,18,48,1612.127659574468,0.6266666666666667,1489.04,0.0,0.7333333333333333,2282930.0,0.0
Tenchi2xh_monospace,0,1,1,23,1,0,1,11,5,0,1,72,0.023952097,290,4,1,103.02083333333333,0.8405797101449275,103.28,0.0,0.0,1067.2,0.0
openml_OpenML,0,0,0,4,1,0,1,2,1,0,0,989,0.0013667427,1592,3,38,46.09615384615385,0.8756345177664975,37.08,0.0,0.987012987012987,4953628.2,3895869.5
OCA_stock-logistics-warehouse,5,0,1,50,3,0,2,2,6,0,1,0,0.0029133286,0,4,210,773.8743718592965,0.5749030666196686,1088.8,0.0,0.8223086900129701,90279.81203007519,71784.15384615384
bzick_fenom-extra,0,0,0,9,2,0,1,2,2,0,0,12,0.02631579,2,1,3,0.0,0.0,0.0,0.0,1.0,0.0,0.0
errbit_errbit,3,1,0,46,6,0,1,14,10,0,1,299,0.021567218,371,60,300,1584.2417138237672,0.8347509113001215,568.32,0.0,0.351129363449692,105044.09803921569,87434.125
